id,host_id,neighbourhood_cleansed,room_type,minimum_nights,review_scores_rating
6400,13822,TIBALDI,Private room,4,4.89
304050,1566887,XXII MARZO,Private room,2,4.91
23986,95941,NAVIGLI,Entire home/apt,1,4.65
309905,1593809,TICINESE,Entire home/apt,20,4.9
40470,174203,VIALE MONZA,Entire home/apt,3,4.68
333223,1697947,MAGENTA - S. VITTORE,Private room,1,5.0
46536,138683,VIALE MONZA,Entire home/apt,3,4.51
59226,244087,CENTRALE,Entire home/apt,3,4.0
335766,1554399,TICINESE,Entire home/apt,6,5.0
82227,447162,WASHINGTON,Entire home/apt,3,4.62
341076,1730481,PARCO LAMBRO - CIMIANO,Entire home/apt,3,4.76
83335,454244,PORTA ROMANA,Entire home/apt,2,4.87
344791,1749204,RONCHETTO SUL NAVIGLIO,Private room,7,4.54
84741,443989,PARCO FORLANINI - ORTICA,Private room,2,4.64
348448,326090,BRERA,Entire home/apt,1,4.57
364897,1842096,TICINESE,Entire home/apt,2,4.78
365083,1843798,BRERA,Private room,1,4.94
88130,481475,VILLAPIZZONE,Entire home/apt,2,5.0
367858,1857092,TORTONA,Entire home/apt,2,4.65
90830,181255620,NAVIGLI,Entire home/apt,1,4.69
370033,1865237,BUENOS AIRES - VENEZIA,Entire home/apt,3,4.8
93232,500414,XXII MARZO,Private room,5,4.78
375429,1888685,PARCO FORLANINI - ORTICA,Entire home/apt,1,5.0
94233,503840,ISOLA,Entire home/apt,3,4.94
375710,1889524,SARPI,Entire home/apt,1,4.64
383918,1921860,TICINESE,Entire home/apt,180,4.55
101087,530151,STADERA,Entire home/apt,3,4.88
390076,1954673,VIGENTINA,Entire home/apt,4,4.85
391334,1957255,PADOVA,Private room,1,4.53
102817,512747,S. CRISTOFORO,Entire home/apt,3,4.5
391488,1954673,VIGENTINA,Private room,5,4.0
109384,564830,WASHINGTON,Entire home/apt,2,4.87
122514,613760,GIAMBELLINO,Entire home/apt,2,4.83
392296,1961267,TICINESE,Entire home/apt,3,4.81
392891,1963290,BUENOS AIRES - VENEZIA,Entire home/apt,5,5.0
140874,685839,ISOLA,Private room,1,4.7
394443,1971999,UMBRIA - MOLISE,Entire home/apt,4,4.94
141833,689467,DUOMO,Entire home/apt,15,4.91
397875,1987465,PARCO FORLANINI - ORTICA,Entire home/apt,2,4.31
399142,1509818,SARPI,Entire home/apt,7,4.0
143329,695509,BUENOS AIRES - VENEZIA,Entire home/apt,3,4.67
399879,1922739,TORTONA,Entire home/apt,2,4.87
153925,740161,TORTONA,Entire home/apt,2,4.78
400300,1998219,GUASTALLA,Entire home/apt,3,4.9
155720,748765,NAVIGLI,Private room,1,4.49
402422,2008622,LODI - CORVETTO,Entire home/apt,3,4.33
161605,773109,UMBRIA - MOLISE,Private room,3,0.0
403578,2012457,NIGUARDA - CA' GRANDA,Entire home/apt,2,4.91
403602,2012951,DUOMO,Entire home/apt,1,4.73
403627,2012887,SARPI,Entire home/apt,3,4.61
171017,815807,LORETO,Entire home/apt,1,4.74
405089,1853582,PADOVA,Private room,2,4.53
181914,574635,S. CRISTOFORO,Entire home/apt,2,4.57
406218,2024298,WASHINGTON,Private room,21,4.83
406353,2024492,NAVIGLI,Entire home/apt,3,5.0
409123,2036809,GIAMBELLINO,Private room,3,4.6
189441,913914,BOVISASCA,Private room,2,4.7
409414,510389,CENTRALE,Private room,1,4.35
189457,913985,WASHINGTON,Entire home/apt,2,4.91
409509,1865237,BUENOS AIRES - VENEZIA,Entire home/apt,7,4.86
206450,930535,PORTA ROMANA,Entire home/apt,2,4.97
409985,2041012,ISOLA,Entire home/apt,3,4.92
410480,2043421,CITTA' STUDI,Shared room,1,4.75
218379,962865,NAVIGLI,Private room,2,4.8
411118,2046698,BUENOS AIRES - VENEZIA,Private room,2,4.85
412833,2054298,DUOMO,Entire home/apt,2,4.89
224432,144021,XXII MARZO,Entire home/apt,3,4.89
414257,1750205,VIGENTINA,Entire home/apt,28,3.17
414465,2061296,VILLAPIZZONE,Entire home/apt,2,4.66
226939,1183857,VILLAPIZZONE,Private room,2,5.0
415534,2066962,SARPI,Entire home/apt,7,4.9
233795,1224206,BRERA,Entire home/apt,1,4.72
416072,2068763,LORETO,Entire home/apt,2,4.78
416539,510389,CENTRALE,Private room,1,4.71
234244,1138330,TICINESE,Entire home/apt,3,4.92
418415,2080940,NAVIGLI,Entire home/apt,4,5.0
418451,1861552,VIALE MONZA,Entire home/apt,1,4.86
